location,cuisine,competition,demand,rating,price,opportunity_score,normalized_demand
" ILD Trade Centre Mall, Sohna Road",Mughlai,1,40.0,2.7,800.0,0.3342214860033877,0.0014325364849136
" ILD Trade Centre Mall, Sohna Road",North Indian,1,40.0,2.7,800.0,0.3342214860033877,0.0014325364849136
" ILD Trade Centre Mall, Sohna Road",Beverages,1,8.0,3.4,350.0,0.24901878543143818,0.00028650729698272
"12th Square Building, Banjara Hills",Chinese,1,1124.6666666666667,4.3,1500.0,1.0070787382128357,0.04027815083415406
"12th Square Building, Banjara Hills",Mughlai,1,1124.6666666666667,4.3,1500.0,1.0070787382128357,0.04027815083415406
"12th Square Building, Banjara Hills",North Indian,1,1124.6666666666667,4.3,1500.0,1.0070787382128357,0.04027815083415406
"A Hotel, Gurdev Nagar",Chinese,1,31.0,3.6,800.0,0.4158883083359672,0.00111021577580804
"A Hotel, Gurdev Nagar",Fast Food,1,31.0,3.6,800.0,0.4158883083359672,0.00111021577580804
"A Hotel, Gurdev Nagar",North Indian,1,31.0,3.6,800.0,0.4158883083359672,0.00111021577580804
"ARSS Mall, Paschim Vihar",Chinese,1,23.4,3.1,500.0,0.3301069236709128,0.000838033843674456
"ARSS Mall, Paschim Vihar",Fast Food,1,23.4,3.1,500.0,0.3301069236709128,0.000838033843674456
"ARSS Mall, Paschim Vihar",Mithai,1,23.4,3.1,500.0,0.3301069236709128,0.000838033843674456
Aaya Nagar,Cuisine Varies,1,2.0,0.0,500.0,0.0,7.162682424568e-05
"Acropolis Mall, Kasba ",Asian,1,472.5,4.6,1400.0,0.9445566266026737,0.0169218372280419
"Acropolis Mall, Kasba ",Chinese,1,472.5,4.6,1400.0,0.9445566266026737,0.0169218372280419
"Acropolis Mall, Kasba ",American,1,275.75,4.2,1200.0,0.7872360400224245,0.009875548392873131
Adajan Gam,South Indian,1,70.0,4.1,500.0,0.5825662498623131,0.0025069388485988
Adajan Gam,Asian,1,75.33333333333333,3.9,800.0,0.5635642629351969,0.0026979437132539467
Adajan Gam,Thai,1,75.33333333333333,3.9,800.0,0.5635642629351969,0.0026979437132539467
Adchini,Parsi,1,665.0,4.2,1500.0,0.9101805538756547,0.0238159190616886
Adchini,Pizza,1,66.0,3.7,300.0,0.5185787563915524,0.00236368520010744
Adchini,Italian,1,20.0,4.0,1600.0,0.40593632502978977,0.0007162682424568
"Aditya Mega Mall, Karkardooma",Chinese,1,96.0,3.7,1000.0,0.5642143540154172,0.0034380875637926404
"Aditya Mega Mall, Karkardooma",Continental,1,96.0,3.7,1000.0,0.5642143540154172,0.0034380875637926404
"Aditya Mega Mall, Karkardooma",North Indian,2,112.0,3.55,900.0,0.4794921930408231,0.00401110215775808
Adyar,Desserts,1,603.3333333333334,4.2,800.0,0.8965776290921439,0.02160742531411347
Adyar,European,1,603.3333333333334,4.2,800.0,0.8965776290921439,0.02160742531411347
Adyar,Italian,1,603.3333333333334,4.2,800.0,0.8965776290921439,0.02160742531411347
Aerocity,Italian,1,11.0,3.2,550.0,0.26505670931072006,0.00039394753335124003
Aerocity,Pizza,1,11.0,3.2,550.0,0.26505670931072006,0.00039394753335124003
Aerocity,Chinese,1,8.666666666666666,3.2,900.0,0.24199291107395884,0.0003103829050646133
Aggar Nagar,Chinese,1,5.666666666666667,3.5,1500.0,0.22133066490335282,0.00020294266869609335
Aggar Nagar,Continental,1,5.666666666666667,3.5,1500.0,0.22133066490335282,0.00020294266869609335
Aggar Nagar,North Indian,1,5.666666666666667,3.5,1500.0,0.22133066490335282,0.00020294266869609335
"Aggarwal City Mall, Pitampura",Chinese,2,56.5,2.9000000000000004,1250.0,0.3357193242465596,0.00202345778494046
"Aggarwal City Mall, Pitampura",North Indian,2,56.5,2.9000000000000004,1250.0,0.3357193242465596,0.00202345778494046
"Aggarwal City Mall, Pitampura",Mithai,1,6.5,3.3,200.0,0.22163933225964907,0.00023278717879846
"Aggarwal City Plaza, Rohini",Bakery,1,62.0,3.7,300.0,0.5109866162549557,0.00222043155161608
"Aggarwal City Plaza, Rohini",Mithai,1,55.666666666666664,3.4,400.0,0.4575477634833105,0.0019936132748380932
"Aggarwal City Plaza, Rohini",South Indian,1,55.666666666666664,3.4,400.0,0.4575477634833105,0.0019936132748380932
Agra Cantt,Mughlai,2,105.5,3.7,775.0,0.4934896127158022,0.00377831497895962
Agra Cantt,North Indian,3,199.5,3.6666666666666665,683.3333333333334,0.4859079726184405,0.0071447757185065805
Akashwani,Chinese,1,60.0,3.6,800.0,0.49330486370079735,0.0021488047273704003
Akashwani,Continental,1,60.0,3.6,800.0,0.49330486370079735,0.0021488047273704003
Akashwani,Italian,1,60.0,3.6,800.0,0.49330486370079735,0.0021488047273704003
Alaknanda,Bengali,1,452.0,3.9,800.0,0.7950659763127944,0.01618766227952368
Alaknanda,Biryani,1,48.5,3.9,600.0,0.5072564470447039,0.00173695048795774
Alaknanda,Cafe,1,23.0,3.2,450.0,0.3389924085704476,0.00082370847882532
Alkapuri,South Indian,1,344.0,4.5,400.0,0.876531662554704,0.012319813770256961
Alkapuri,Mughlai,1,166.0,4.3,1500.0,0.7335791131130683,0.00594502641239144
Alkapuri,Continental,2,115.25,4.2,1350.0,0.5706891653360959,0.00412749574715731
Ambavadi,Chinese,1,263.6666666666667,4.2,900.0,0.7809859641610637,0.009442802996388815
Ambavadi,Italian,1,263.6666666666667,4.2,900.0,0.7809859641610637,0.009442802996388815
Ambavadi,Mediterranean,1,263.6666666666667,4.2,900.0,0.7809859641610637,0.009442802996388815
"Ambience Mall, Gurgaon",Mughlai,1,943.5,4.3,2000.0,0.9819273151282909,0.03378995433789954
"Ambience Mall, Gurgaon",North Indian,1,943.5,4.3,2000.0,0.9819273151282909,0.03378995433789954
"Ambience Mall, Gurgaon",Kerala,1,267.3333333333333,4.0,1400.0,0.7456306651667272,0.009574118840839226
"Ambience Mall, Vasant Kunj",American,1,232.0,3.5,800.0,0.6359544862493317,0.008308711612498881
"Ambience Mall, Vasant Kunj",Cafe,2,348.5,3.7,700.0,0.6191160908055229,0.012480974124809741
"Ambience Mall, Vasant Kunj",Andhra,1,67.2,4.2,1500.0,0.5911422390789184,0.0024066612946548483
Aminabad,Lucknowi,1,528.5,4.9,300.0,1.0244157502901055,0.01892738830692094
Aminabad,Mughlai,1,528.5,4.9,300.0,1.0244157502901055,0.01892738830692094
Anand Lok,Cafe,1,710.3333333333334,4.2,1400.0,0.9193997600471026,0.025439460411257348
Anand Lok,Continental,1,710.3333333333334,4.2,1400.0,0.9193997600471026,0.025439460411257348
Anand Lok,Italian,1,710.3333333333334,4.2,1400.0,0.9193997600471026,0.025439460411257348
Anand Vihar,Healthy Food,1,42.0,3.5,350.0,0.43880668016424895,0.0015041633091592802
Anand Vihar,Burger,2,17.266666666666666,3.6,375.0,0.298808013115117,0.0006183782493210374
Anand Vihar,Continental,2,17.266666666666666,3.6,375.0,0.298808013115117,0.0006183782493210374
