location,cuisine,competition,demand,rating,price,opportunity_score,normalized_demand,cluster,cluster_name
" ILD Trade Centre Mall, Sohna Road",Beverages,1,8.0,3.4,350.0,0.2490187854314381,0.0002865072969827,0,Emerging Market 🌱
" ILD Trade Centre Mall, Sohna Road",Cafe,1,8.0,3.4,350.0,0.2490187854314381,0.0002865072969827,0,Emerging Market 🌱
" ILD Trade Centre Mall, Sohna Road",Mughlai,1,40.0,2.7,800.0,0.3342214860033877,0.0014325364849136,1,Low Potential ❌
" ILD Trade Centre Mall, Sohna Road",North Indian,1,40.0,2.7,800.0,0.3342214860033877,0.0014325364849136,1,Low Potential ❌
"12th Square Building, Banjara Hills",Chinese,1,1124.6666666666667,4.3,1500.0,1.0070787382128357,0.040278150834154,0,Emerging Market 🌱
"12th Square Building, Banjara Hills",Mughlai,1,1124.6666666666667,4.3,1500.0,1.0070787382128357,0.040278150834154,0,Emerging Market 🌱
"12th Square Building, Banjara Hills",North Indian,1,1124.6666666666667,4.3,1500.0,1.0070787382128357,0.040278150834154,0,Emerging Market 🌱
"A Hotel, Gurdev Nagar",Chinese,1,31.0,3.6,800.0,0.4158883083359672,0.001110215775808,0,Emerging Market 🌱
"A Hotel, Gurdev Nagar",Fast Food,1,31.0,3.6,800.0,0.4158883083359672,0.001110215775808,0,Emerging Market 🌱
"A Hotel, Gurdev Nagar",North Indian,1,31.0,3.6,800.0,0.4158883083359672,0.001110215775808,0,Emerging Market 🌱
"ARSS Mall, Paschim Vihar",Chinese,1,23.4,3.1,500.0,0.3301069236709128,0.0008380338436744,1,Low Potential ❌
"ARSS Mall, Paschim Vihar",Fast Food,1,23.4,3.1,500.0,0.3301069236709128,0.0008380338436744,1,Low Potential ❌
"ARSS Mall, Paschim Vihar",Mithai,1,23.4,3.1,500.0,0.3301069236709128,0.0008380338436744,1,Low Potential ❌
"ARSS Mall, Paschim Vihar",North Indian,1,23.4,3.1,500.0,0.3301069236709128,0.0008380338436744,1,Low Potential ❌
"ARSS Mall, Paschim Vihar",South Indian,1,23.4,3.1,500.0,0.3301069236709128,0.0008380338436744,1,Low Potential ❌
"Acropolis Mall, Kasba ",American,1,275.75,4.2,1200.0,0.7872360400224245,0.0098755483928731,0,Emerging Market 🌱
"Acropolis Mall, Kasba ",Asian,1,472.5,4.6,1400.0,0.9445566266026736,0.0169218372280419,0,Emerging Market 🌱
"Acropolis Mall, Kasba ",Chinese,1,472.5,4.6,1400.0,0.9445566266026736,0.0169218372280419,0,Emerging Market 🌱
"Acropolis Mall, Kasba ",Italian,1,275.75,4.2,1200.0,0.7872360400224245,0.0098755483928731,0,Emerging Market 🌱
"Acropolis Mall, Kasba ",Mediterranean,1,275.75,4.2,1200.0,0.7872360400224245,0.0098755483928731,0,Emerging Market 🌱
"Acropolis Mall, Kasba ",Mexican,1,275.75,4.2,1200.0,0.7872360400224245,0.0098755483928731,0,Emerging Market 🌱
Adajan Gam,Asian,1,75.33333333333333,3.9,800.0,0.5635642629351969,0.0026979437132539,0,Emerging Market 🌱
Adajan Gam,Chinese,2,125.58333333333331,3.85,850.0,0.5324990938088549,0.0044975676724266,0,Emerging Market 🌱
Adajan Gam,Italian,1,50.25,3.8,900.0,0.4986506449490122,0.0017996239591727,0,Emerging Market 🌱
Adajan Gam,Mexican,1,50.25,3.8,900.0,0.4986506449490122,0.0017996239591727,0,Emerging Market 🌱
Adajan Gam,North Indian,1,50.25,3.8,900.0,0.4986506449490122,0.0017996239591727,0,Emerging Market 🌱
Adajan Gam,South Indian,1,70.0,4.1,500.0,0.5825662498623131,0.0025069388485988,0,Emerging Market 🌱
Adajan Gam,Thai,1,75.33333333333333,3.9,800.0,0.5635642629351969,0.0026979437132539,0,Emerging Market 🌱
Adchini,Andhra,1,7.666666666666667,4.2,1200.0,0.3023277949094722,0.0002745694929417,0,Emerging Market 🌱
